ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) payers registered before due date,Gst ( goods and service tax ) payers registered after due date
121,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-1,22018,15849,1585
122,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-3,58745,21838,33941
123,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-1,61691,46919,9459
124,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-3,61691,30755,28220
125,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-1,21474,16263,1705
126,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-3,58791,31696,24081
127,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-1,21456,16321,1944
128,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-3,59931,35381,21036
129,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-1,60956,46128,9922
130,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-3,60956,41404,15751
131,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-1,22180,16298,2222
132,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-3,63084,42168,16676
133,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-1,22607,16260,2482
134,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-3,65105,43294,17371
135,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-1,67470,48805,12694
136,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-3,67470,43082,19781
137,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-1,27825,15122,2693
138,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-3,69050,31904,33357
139,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-1,30075,15257,2902
140,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-3,72862,48591,18791
141,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-1,75206,51695,15386
142,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-3,75206,48706,20087
143,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-1,31646,14848,3789
144,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-3,76985,54820,15458
145,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-1,30728,13763,4976
146,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-3,78385,48848,22504
147,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-1,79070,39513,30770
